x,y_true,y_sample
0.880000,0.049116,-0.323166
0.890000,0.048071,0.043746
0.900000,0.047059,0.370777
0.910000,0.046078,0.103681
0.920000,0.045126,0.077544
0.930000,0.044204,-0.169992
0.940000,0.043309,0.133465
0.950000,0.042440,0.190769
0.960000,0.041597,-0.088340
0.970000,0.040779,0.189209
0.980000,0.039984,-0.211849
0.990000,0.039212,-0.101458
1.000000,0.038462,-0.118482
